stage,epoch,train_loss,val_loss,val_qwk,val_acc,val_f1
1,1,1.65876,1.342122,0.792133,0.5671,0.455238
1,2,1.539287,1.384191,0.75781,0.649351,0.420216
1,3,1.437438,1.258645,0.698718,0.471861,0.395824
1,4,1.363257,1.270694,0.69659,0.562771,0.412359
1,5,1.354013,1.332181,0.7361,0.632035,0.445888
2,1,1.526237,1.280361,0.79747,0.575758,0.471979
2,2,1.338088,1.249674,0.869246,0.82684,0.605107
2,3,1.230361,1.414023,0.905207,0.82684,0.558566
2,4,1.161156,1.462737,0.873086,0.818182,0.551612
2,5,1.028183,1.391446,0.879472,0.82684,0.54159
2,6,0.912289,1.196113,0.89132,0.800866,0.618481
2,7,0.850967,1.344675,0.910677,0.861472,0.587626
2,8,0.809332,1.270442,0.921137,0.87013,0.610287
2,9,0.76939,1.284553,0.924275,0.887446,0.622221
2,10,0.757453,1.242259,0.92206,0.891775,0.616604
3,1,0.820656,1.175979,0.928514,0.891775,0.615809
3,2,0.840347,1.125982,0.922026,0.857143,0.658411
3,3,0.771426,1.22555,0.922939,0.891775,0.595601
3,4,0.776001,1.145298,0.923643,0.904762,0.662643
3,5,0.719713,1.129919,0.920081,0.896104,0.644616
3,6,0.702876,1.087413,0.930321,0.904762,0.644943
3,7,0.735464,1.077417,0.926829,0.896104,0.648327
3,8,0.703838,1.12645,0.919338,0.896104,0.641113
3,9,0.694511,1.062632,0.93953,0.922078,0.677757
3,10,0.712367,1.112929,0.932409,0.904762,0.651104
4,1,0.732296,1.094703,0.946302,0.900433,0.63557
4,2,0.707672,1.146589,0.945131,0.926407,0.678064
4,3,0.679524,1.116622,0.932245,0.91342,0.651534
4,4,0.673741,1.126327,0.933793,0.904762,0.625307
4,5,0.703247,1.205721,0.925597,0.904762,0.606942
